"Isolation","Trait","Observed","Expected","Percent","Count","Pvalue","Sig","TraitDiff","Direction","AbsDiff"
"Pathogenic","Glucose_F",68,68.5313,0.4949,6543,0.6543,0,-0.531300000000002,"Random",0.531300000000002
"Pathogenic","Galactose_F",31,32.2316,0.3958,7414,0.7414,0,-1.2316,"Random",1.2316
"Pathogenic","Sucrose_F",30,30.1286,0.5623,5972,0.5972,0,-0.128599999999999,"Random",0.128599999999999
"Pathogenic","Maltose_F",22,22.6517,0.4777,7024,0.7024,0,-0.651700000000002,"Random",0.651700000000002
"Pathogenic","Lactose_F",1,1.2592,0.7175,9274,0.9274,0,-0.2592,"Random",0.2592
"Pathogenic","Raffinose_F",20,20.2114,0.5623,6219,0.6219,0,-0.211400000000001,"Random",0.211400000000001
"Pathogenic","Trehalose_F",31,31.519,0.5052,6520,0.652,0,-0.518999999999998,"Random",0.518999999999998
"Pathogenic","Inulin",11,12.0042,0.3958,8017,0.8017,0,-1.0042,"Random",1.0042
"Pathogenic","Sucrose",49,50.845,0.2964,8302,0.8302,0,-1.845,"Random",1.845
"Pathogenic","Raffinose",31,31.146,0.5557,5980,0.598,0,-0.146000000000001,"Random",0.146000000000001
"Pathogenic","Melibiose",14,14.8224,0.4343,7725,0.7725,0,-0.8224,"Random",0.8224
"Pathogenic","Galactose",61,61.1675,0.5459,6092,0.6092,0,-0.167499999999997,"Random",0.167499999999997
"Pathogenic","Lactose",13,13.8672,0.4265,7775,0.7775,0,-0.8672,"Random",0.8672
"Pathogenic","Trehalose",58,59.2854,0.3648,7889,0.7889,0,-1.2854,"Random",1.2854
"Pathogenic","Maltose",49,50.2204,0.3808,7722,0.7722,0,-1.2204,"Random",1.2204
"Pathogenic","Melezitose",44,44.3142,0.5323,6340,0.634,0,-0.3142,"Random",0.3142
"Pathogenic","Methyl-?-D-glucoside",45,45.4082,0.5149,6506,0.6506,0,-0.408200000000001,"Random",0.408200000000001
"Pathogenic","Soluble Starch",30,28.322,0.831,3039,0.3039,0,1.678,"Random",1.678
"Pathogenic","Cellobiose",53,54.3199,0.3769,7572,0.7572,0,-1.3199,"Random",1.3199
"Pathogenic","Salicin",53,54.3192,0.3739,7563,0.7563,0,-1.3192,"Random",1.3192
"Pathogenic","L-Sorbose",51,51.466,0.5088,6330,0.633,0,-0.466000000000001,"Random",0.466000000000001
"Pathogenic","L-Rhamnose",28,27.0185,0.7258,4209,0.4209,0,0.9815,"Random",0.9815
"Pathogenic","D-Xylose",61,61.0129,0.59,5915,0.5915,0,-0.0129000000000019,"Random",0.0129000000000019
"Pathogenic","L-Arabinose",41,39.6696,0.7679,3723,0.3723,0,1.3304,"Random",1.3304
"Pathogenic","D-Arabinose",29,29.5517,0.4972,6588,0.6588,0,-0.5517,"Random",0.5517
"Pathogenic","D-Ribose",42,41.9367,0.5873,5721,0.5721,0,0.0632999999999981,"Random",0.0632999999999981
"Pathogenic","Methanol",2,4.4268,0.1194,9703,0.9703,0,-2.4268,"Random",2.4268
"Pathogenic","Ethanol",80,79.6508,0.6695,5499,0.5499,0,0.349199999999996,"Random",0.349199999999996
"Pathogenic","Glycerol",79,78.3112,0.7792,4648,0.4648,0,0.688800000000001,"Random",0.688800000000001
"Pathogenic","Erythritol",28,28.4616,0.5102,6482,0.6482,0,-0.461600000000001,"Random",0.461600000000001
