"","Trait_A","Trait_B","Observed","Expected","Percent","Count","Pvalue","Sig","Correction","Direction","TraitDiff","AbsDiff"
"1","Glucose_F","Galactose_F",255,230.1781,1,0,0,1,0,"Positive",24.8219,24.8219
"3","Glucose_F","Sucrose_F",203,183.2636,1,0,0,1,0,"Positive",19.7364,19.7364
"4","Glucose_F","Maltose_F",153,139.9901,1,0,0,1,0,"Positive",13.0099,13.0099
"5","Glucose_F","Lactose_F",10,9.1537,1,4117,0.4117,0,1,"Random",0.846299999999999,0.846299999999999
"6","Glucose_F","Raffinose_F",116,104.3368,1,1,1e-04,1,0.00191186440677966,"Positive",11.6632,11.6632
"7","Glucose_F","Trehalose_F",251,228.8429,1,0,0,1,0,"Positive",22.1571,22.1571
"8","Glucose_F","Inulin",64,69.2148,0.0523,9728,0.9728,0,1,"Random",-5.2148,5.2148
"9","Glucose_F","Sucrose",403,396.2767,0.9288,1034,0.1034,0,0.448596923076923,"Random",6.72329999999999,6.72329999999999
"10","Glucose_F","Raffinose",176,180.4553,0.1767,8775,0.8775,0,1,"Random",-4.45529999999999,4.45529999999999
"1110","Glucose_F","Melibiose",580,548.376,1,0,0,1,0,"Negative",31.624,31.624
"12","Glucose_F","Galactose",406,417.1323,0.0147,9925,0.9925,0,1,"Random",-11.1323,11.1323
"1310","Glucose_F","Lactose",566,542.6004,0.9997,3,3e-04,1,0.00457297297297297,"Negative",23.3996,23.3996
"14","Glucose_F","Trehalose",450,450.4495,0.5066,5796,0.5796,0,1,"Random",-0.4495,0.4495
"15","Glucose_F","Maltose",384,382.9685,0.6279,4489,0.4489,0,1,"Random",1.03149999999999,1.03149999999999
"16","Glucose_F","Melezitose",315,313.4011,0.6685,4102,0.4102,0,1,"Random",1.59890000000001,1.59890000000001
"17","Glucose_F","Methyl-?-D-glucoside",324,325.347,0.4295,6521,0.6521,0,1,"Random",-1.34699999999998,1.34699999999998
"1810","Glucose_F","Soluble Starch",533,503.9986,1,2,2e-04,1,0.0032695652173913,"Negative",29.0014,29.0014
"19","Glucose_F","Cellobiose",391,396.5003,0.1546,8879,0.8879,0,1,"Random",-5.50029999999998,5.50029999999998
"20","Glucose_F","Salicin",391,396.2501,0.1656,8809,0.8809,0,1,"Random",-5.25009999999997,5.25009999999997
"2113","Glucose_F","L-Sorbose",422,368.4298,1,0,0,1,0,"Negative",53.5702,53.5702
"2210","Glucose_F","L-Rhamnose",514,490.6118,0.9985,29,0.0029,1,0.032712,"Negative",23.3882,23.3882
"2310","Glucose_F","D-Xylose",315,285.6448,0.9996,11,0.0011,1,0.0149493975903614,"Negative",29.3552,29.3552
"242","Glucose_F","L-Arabinose",461,427.9142,1,0,0,1,0,"Negative",33.0858,33.0858
"2510","Glucose_F","D-Arabinose",495,460.051,1,0,0,1,0,"Negative",34.949,34.949
"26","Glucose_F","D-Ribose",263,271.8692,0.0384,9765,0.9765,0,1,"Random",-8.86919999999998,8.86919999999998
"27","Glucose_F","Methanol",41,45.5138,0.0729,9638,0.9638,0,1,"Random",-4.5138,4.5138
"28","Glucose_F","Ethanol",517,525.8105,0.0089,9948,0.9948,0,1,"Random",-8.81050000000005,8.81050000000005
"29","Glucose_F","Glycerol",531,537.2021,0.047,9766,0.9766,0,1,"Random",-6.20209999999997,6.20209999999997
"3010","Glucose_F","Erythritol",494,464.3032,0.9999,5,5e-04,1,0.00742105263157895,"Negative",29.6968,29.6968
"3110","Glucose_F","Ribitol",335,308.1478,0.9985,40,0.004,1,0.0433846153846154,"Negative",26.8522,26.8522
"3210","Glucose_F","Galactitol",569,545.8228,1,0,0,1,0,"Negative",23.1772,23.1772
"33","Glucose_F","D-Mannitol",488,497.8411,0.0113,9944,0.9944,0,1,"Random",-9.84109999999998,9.84109999999998
